mq135,mq8,co2_index,estado
3099,1394,0.0,VACIO
3035,1365,0.0,VACIO
2967,1335,31.2,VACIO
2913,1310,82.3,VACIO
2879,1295,114.4,VACIO
2935,1320,61.5,VACIO
2894,1302,100.2,VACIO
2845,1280,146.5,VACIO
2839,1277,152.20000000000002,VACIO
2816,1267,173.9,VACIO
2736,1231,249.5,VACIO
2739,1232,246.70000000000002,VACIO
2717,1222,267.5,VACIO
2720,1224,264.6,VACIO
2689,1210,293.90000000000003,VACIO
2660,1197,321.3,VACIO
2650,1192,330.8,VACIO
2637,1186,343.09999999999997,VACIO
2622,1179,357.3,VACIO
2610,1174,368.6,VACIO
2586,1163,391.3,VACIO
2597,1168,380.9,VACIO
2559,1151,416.8,VACIO
2557,1150,418.7,VACIO
2559,1151,416.8,VACIO
2543,1144,431.90000000000003,VACIO
2533,1139,441.40000000000003,VACIO
2517,1132,456.5,VACIO
2529,1138,445.1,VACIO
2499,1124,473.50000000000006,VACIO
2487,1119,484.8,VACIO
2481,1116,490.5,VACIO
2469,1111,501.8,VACIO
2469,1111,501.8,VACIO
2471,1111,500.0,VACIO
2464,1108,506.6,VACIO
2451,1102,518.9,VACIO
2448,1101,521.7,VACIO
2448,1101,521.7,VACIO
2448,1101,521.7,VACIO
2412,1085,555.7,VACIO
2426,1091,542.5,VACIO
2411,1084,556.7,VACIO
2413,1085,554.8000000000001,VACIO
2403,1081,564.2,VACIO
2410,1084,557.6,VACIO
2397,1078,569.9000000000001,VACIO
2397,1078,569.9000000000001,VACIO
2390,1075,576.5,VACIO
2382,1071,584.1,VACIO
2365,1064,600.1,VACIO
2357,1060,607.7,VACIO
2373,1067,592.6,VACIO
2365,1064,600.1,VACIO
2352,1058,612.4000000000001,VACIO
2351,1057,613.4,VACIO
2342,1053,621.9000000000001,VACIO
2352,1058,612.4000000000001,VACIO
2329,1048,634.1,VACIO
2327,1047,636.0,VACIO
2352,1058,612.4000000000001,VACIO
2327,1047,636.0,VACIO
2320,1044,642.6,VACIO
2329,1048,634.1,VACIO
2319,1043,643.6,VACIO
2305,1037,656.8,VACIO
2299,1034,662.5,VACIO
2303,1036,658.7,VACIO
2295,1032,666.3,VACIO
2302,1035,659.7,VACIO
2301,1035,660.6,VACIO
2306,1037,655.9,VACIO
2304,1036,657.8,VACIO
2318,1043,644.5000000000001,VACIO
2303,1036,658.7,VACIO
2306,1037,655.9,VACIO
2319,1043,643.6,VACIO
2302,1035,659.7,VACIO
2286,1028,674.8000000000001,VACIO
2290,1030,671.0,VACIO
2302,1035,659.7,VACIO
2272,1022,688.0,VACIO
2273,1022,687.1,VACIO
2279,1025,681.4,VACIO
2285,1028,675.7,VACIO
2286,1028,674.8000000000001,VACIO
2257,1015,702.2,VACIO
2258,1016,701.2,VACIO
2262,1017,697.5,VACIO
2253,1013,706.0000000000001,VACIO
2219,998,738.1,VACIO
2245,1010,713.5,VACIO
2224,1000,733.4,VACIO
2226,1001,731.5,VACIO
2209,994,747.5,VACIO
2201,990,755.1,VACIO
2224,1000,733.4,VACIO
2223,1000,734.3000000000001,VACIO
2199,989,757.0,VACIO
2223,1000,734.3000000000001,VACIO
2182,981,773.1,VACIO
2203,991,753.2,VACIO
2173,977,781.6,VACIO
